iter	Passed	Remaining
0	1	1157
1	2	1035
2	2	970
3	3	899
4	4	983
5	5	915
6	6	875
7	6	845
8	7	828
9	8	811
10	8	800
11	9	786
12	10	773
13	10	761
14	11	753
15	12	749
16	12	742
17	13	735
18	14	730
19	14	722
20	15	718
21	16	718
22	16	713
23	17	710
24	18	707
25	18	711
26	19	710
27	20	708
28	21	710
29	21	708
30	22	706
31	23	703
32	23	700
33	24	699
34	25	699
35	26	697
36	26	695
37	27	692
38	28	690
39	28	687
40	29	684
41	29	682
42	30	679
43	31	678
44	31	676
45	32	675
46	33	674
47	33	674
48	34	675
49	35	678
50	36	677
51	37	676
52	37	674
53	38	671
54	38	669
55	39	668
56	40	666
57	40	664
58	41	662
59	42	659
60	42	658
61	43	656
62	44	654
63	44	652
64	45	651
65	45	649
66	46	648
67	47	651
68	48	650
69	48	648
70	49	648
71	50	646
72	50	645
73	51	644
74	52	642
75	52	642
76	53	640
77	54	639
78	54	639
79	55	638
80	56	637
81	56	635
82	57	630
83	57	629
84	58	628
85	59	627
86	59	626
87	60	624
88	61	624
89	62	626
90	62	626
91	63	624
92	64	624
93	64	623
94	65	622
95	65	621
96	66	619
97	67	619
98	67	618
99	68	617
100	69	616
101	69	615
102	70	614
103	71	613
104	71	612
105	72	611
106	73	610
107	73	608
108	74	607
109	75	607
110	75	605
111	76	605
112	77	605
113	77	604
114	78	604
115	79	602
116	79	601
117	80	600
118	81	599
119	81	598
120	82	597
121	82	595
122	83	593
123	83	592
124	84	591
125	85	590
126	85	588
127	86	586
128	86	586
129	87	584
130	88	583
131	88	583
132	89	582
133	89	581
134	90	580
135	91	580
136	92	579
137	92	580
138	93	578
139	94	577
140	94	576
141	95	574
142	95	573
143	96	572
144	96	571
145	97	571
146	98	570
147	98	569
148	99	567
149	100	567
150	100	566
151	101	565
152	102	565
153	102	564
154	103	563
155	104	563
156	104	562
157	105	561
158	106	560
159	106	560
160	107	558
161	108	559
162	108	558
163	109	558
164	110	557
165	110	555
166	111	554
167	111	553
168	112	552
169	113	551
170	113	550
171	114	549
172	114	549
173	115	548
174	116	547
175	116	546
176	117	546
177	118	545
178	118	544
179	119	543
180	119	542
181	120	542
182	121	541
183	121	540
184	122	539
185	123	538
186	123	537
187	124	536
188	125	536
189	125	536
190	126	535
191	127	534
192	127	533
193	128	532
194	128	531
195	129	530
196	130	530
197	130	528
198	131	527
199	131	527
200	132	526
201	133	525
202	133	524
203	134	523
204	134	522
205	135	521
206	135	520
207	136	519
208	137	519
209	137	518
210	138	518
211	139	517
212	139	516
213	140	515
214	140	514
215	141	514
216	142	513
217	142	512
218	143	511
219	144	510
220	144	510
221	145	509
222	146	508
223	146	507
224	147	507
225	147	506
226	148	505
227	149	504
228	149	503
229	150	502
230	150	501
231	151	500
232	151	500
233	152	499
234	153	499
235	153	498
236	154	497
237	155	497
238	156	496
239	156	496
240	157	495
241	157	494
242	158	494
243	159	493
244	160	493
245	160	492
246	161	491
247	161	490
248	162	490
249	163	489
250	163	488
251	164	487
252	164	486
253	165	486
254	166	485
255	166	484
256	167	483
257	168	483
258	168	482
259	169	482
260	170	481
261	170	480
262	171	479
263	171	479
264	172	478
265	173	477
266	173	476
267	174	475
268	174	475
269	175	474
270	176	473
271	176	473
272	177	472
273	177	471
274	178	470
275	179	469
276	179	469
277	180	468
278	180	467
279	181	466
280	182	465
281	182	465
282	183	464
283	184	464
284	184	463
285	185	462
286	186	462
287	186	461
288	187	460
289	187	459
290	188	459
291	189	458
292	189	457
293	190	457
294	190	456
295	191	455
296	192	454
297	192	454
298	193	453
299	193	452
300	194	451
301	195	450
302	195	450
303	196	449
304	196	448
305	197	448
306	198	447
307	198	447
308	199	446
309	200	445
310	200	445
311	201	444
312	202	443
313	202	442
314	203	441
315	203	440
316	204	440
317	204	439
318	205	438
319	206	437
320	206	437
321	207	436
322	207	435
323	208	434
324	209	434
325	209	433
326	210	432
327	210	432
328	211	431
329	211	430
330	212	429
331	213	429
332	213	428
333	214	427
334	215	427
335	215	426
336	216	425
337	217	425
338	217	424
339	218	423
340	218	423
341	219	422
342	220	421
343	220	420
344	221	420
345	221	419
346	222	418
347	222	417
348	223	416
349	224	416
350	224	415
351	225	414
352	225	413
353	226	413
354	226	412
355	227	411
356	228	410
357	228	410
358	229	409
359	230	409
360	230	408
361	231	408
362	232	407
363	232	406
364	233	406
365	234	405
366	234	404
367	235	404
368	236	403
369	236	402
370	237	402
371	237	401
372	238	400
373	239	400
374	239	399
375	240	398
376	240	397
377	241	397
378	241	396
379	242	395
380	243	394
381	243	394
382	244	393
383	245	393
384	245	392
385	246	392
386	247	391
387	247	390
388	248	390
389	248	389
390	249	388
391	250	388
392	250	387
393	251	386
394	252	386
395	252	385
396	253	384
397	253	383
398	254	383
399	254	382
400	255	381
401	256	380
402	256	380
403	257	379
404	258	379
405	258	378
406	259	377
407	260	377
408	260	376
409	261	376
410	262	375
411	262	375
412	263	374
413	264	374
414	264	373
415	265	372
416	266	372
417	267	371
418	267	371
419	268	370
420	268	369
421	269	369
422	270	368
423	270	367
424	271	367
425	272	366
426	272	365
427	273	364
428	273	364
429	274	363
430	274	363
431	275	362
432	276	361
433	276	361
434	277	360
435	277	359
436	278	358
437	279	358
438	279	357
439	280	356
440	281	356
441	281	355
442	282	354
443	282	354
444	283	353
445	284	352
446	284	352
447	285	351
448	285	350
449	286	350
450	287	349
451	287	348
452	288	348
453	289	347
454	289	347
455	290	346
456	291	345
457	291	345
458	292	344
459	292	343
460	293	343
461	294	342
462	294	341
463	295	341
464	296	340
465	296	339
466	297	339
467	297	338
468	298	337
469	299	337
470	299	336
471	300	335
472	300	335
473	301	334
474	301	333
475	302	333
476	303	332
477	303	331
478	304	331
479	305	331
480	306	330
481	306	329
482	307	329
483	308	328
484	308	327
485	309	327
486	309	326
487	310	325
488	311	325
489	311	324
490	312	323
491	312	323
492	313	322
493	314	321
494	314	321
495	315	320
496	315	319
497	316	318
498	316	318
499	317	317
500	318	316
501	318	316
502	319	315
503	320	315
504	321	314
505	322	314
506	322	313
507	323	313
508	324	312
509	324	312
510	325	311
511	326	310
512	326	310
513	327	309
514	328	309
515	328	308
516	329	307
517	330	307
518	330	306
519	331	305
520	331	305
521	332	304
522	333	303
523	333	303
524	334	302
525	335	302
526	336	301
527	336	301
528	337	300
529	337	299
530	338	299
531	339	298
532	339	297
533	340	297
534	341	296
535	341	296
536	342	295
537	343	294
538	343	294
539	344	293
540	345	292
541	345	292
542	346	291
543	347	291
544	347	290
545	348	289
546	349	289
547	349	288
548	350	288
549	351	287
550	351	286
551	352	286
552	353	285
553	353	284
554	354	284
555	355	283
556	355	283
557	356	282
558	357	281
559	357	281
560	358	280
561	359	279
562	359	279
563	360	278
564	361	278
565	361	277
566	362	276
567	363	276
568	363	275
569	364	275
570	365	274
571	366	273
572	366	273
573	367	272
574	368	272
575	368	271
576	369	270
577	370	270
578	370	269
579	371	268
580	372	268
581	372	267
582	373	267
583	373	266
584	374	265
585	375	265
586	375	264
587	376	263
588	376	262
589	377	262
590	378	261
591	378	261
592	379	260
593	380	259
594	381	259
595	381	258
596	382	258
597	383	257
598	383	256
599	384	256
600	384	255
601	385	254
602	386	254
603	386	253
604	387	252
605	387	252
606	388	251
607	389	250
608	389	250
609	390	249
610	390	248
611	391	248
612	392	247
613	393	247
614	393	246
615	394	245
616	395	245
617	395	244
618	396	244
619	397	243
620	397	242
621	398	242
622	398	241
623	399	240
624	400	240
625	400	239
626	401	238
627	401	238
628	402	237
629	402	236
630	403	236
631	404	235
632	404	234
633	405	233
634	405	233
635	406	232
636	406	231
637	407	231
638	407	230
639	408	229
640	409	229
641	409	228
642	410	227
643	411	227
644	411	226
645	412	225
646	412	225
647	413	224
648	414	223
649	414	223
650	415	222
651	415	221
652	416	221
653	417	220
654	417	219
655	418	219
656	418	218
657	419	217
658	419	217
659	420	216
660	421	215
661	421	215
662	422	214
663	422	213
